Title,Brands,Product Info,color_price_status,Product Links
Axis - Square Table,Acerbis,"Axis by Acerbis is the table with a very thin top supported by four plates arranged on staggered axes. Gabriele e Oscar Buratti draws an architecture full of reflections as the position from which it is viewed changes.

Axis is made of composite material veneered in precious woods or back-lacquered glass. The plates supporting the top are covered with mirror-polished stainless steel. The top is made particularly airy by the unusual position of the legs, which make it visually light and guarantee comfortable seating as well as stability.","Black|US$ 4,196.05|Available in 4/5 weeks_White|US$ 4,430.61|Available in 4/5 weeks",https://shop.mohd.it/en/axis-square-table.html?queryID=864049e10bb420544d5e065af2aa3166&objectID=116138&indexName=mohd_prod_row_en_products
Cleo Alu padded Chair,Talenti,"Cleo Alu is an outdoor collection designed by marco Acerbis. Here we present the padded tub chair, with a powder coated aluminum frame in white, graphite or dove colour, with different types of shell fabric: grey, green, blue, red, dark grey.
Cleo Alu is a modern a glamourous outdoor collection that stands out for the stylish and informal mood. The slender and essential frame supports a comfortable and welcoming shell, perfect to complete the table of the same collection, to give an elegant touch of design to your outdoor area.",White/Grey|US$ 661.12|Available in 3/4 weeks_White/Green|US$ 661.12|Available in 3/4 weeks_White/Blue|US$ 661.12|Available in 3/4 weeks_White/Red|US$ 661.12|Available in 3/4 weeks_Graphite/Dark Grey|US$ 661.12|Available in 3/4 weeks,https://shop.mohd.it/en/cleo-alu-padded-chair.html?queryID=864049e10bb420544d5e065af2aa3166&objectID=115992&indexName=mohd_prod_row_en_products
Cleo Soft Alu Sofa,Talenti,"Cleo Soft Alu is an outdoor collection designed by Marco Acerbis. Here we present the sofa, with a powder-coated aluminum frame in white or graphite color and different types of sofa fabric: silver for the white frame and dark grey for the graphite frame. Cushions with removable cover, easy to wash, and weather resistant. Quick-dry foam padding.
Cleo Soft Alu is a modern a glamourous outdoor collection that stands out for the stylish and informal mood. The slender and essential frame supports a comfortable and welcoming seat, perfect to accommodate the poolside chatter or moments of relax in the company of a good book.","A12 White / C96 W Silver|US$ 3,510.43|Available in 3/4 weeks_A14 Graphite / C95 Dark Grey|US$ 3,510.43|Available in 3/4 weeks",https://shop.mohd.it/en/cleo-alu-sofa.html?queryID=864049e10bb420544d5e065af2aa3166&objectID=115985&indexName=mohd_prod_row_en_products
Cleo Soft Alu Armchair,Talenti,"Cleo Soft Alu is an outdoor collection designed by Marco Acerbis. Here we present the living armchair, with a powder-coated aluminum frame in white or graphite color and different types of sofa fabric: silver for the white frame and dark grey for the graphite frame. Cushions with removable cover, easy to wash, and weather resistant. Quick-dry foam padding.
Cleo Soft Alu is a modern a glamourous outdoor collection that stands out for the stylish and informal mood. The slender and essential frame supports a comfortable and welcoming sitting, perfect to accommodate the poolside chatter or moments of relax in the company of a good book.","A12 White / C96 W Silver|US$ 1,950.02|Available in 3/4 weeks_A14 Graphite / C95 Dark Grey|US$ 1,950.02|Available in 3/4 weeks",https://shop.mohd.it/en/cleo-soft-alu-armchair.html?queryID=864049e10bb420544d5e065af2aa3166&objectID=115979&indexName=mohd_prod_row_en_products
Domino Director Chair,Talenti,"The Domino director chair is part of the new outdoor collection designed by Marco Acerbis for Talenti. It has a powder coating aluminium frame available in two different colours: White, graphite. Two types of fabrics are available: beige mélange for the white frame; grey for the graphite frame. Cushions with removable covers, easy to wash and weather resistant. Quick dry foam padding.
With Domino, Marco Acerbis continues to mix up the new trends of the design. By expertly alternating fabrics and shapes the creative italian designer underlines, one more time, how fine is the border between indoor and outdoor. Elegance and beauty. Freshness and grace. Domino is the real consecration of craftsmanship that becomes art with an unparalleled care of the details. It is clear not only by considering the particular use of wood but also the approach with aluminum and fabrics that are all in harmony with a completely different product if we compare it with the classic disposable outdoor.","White/Beige Melange|US$ 1,021.21|Available in 3/4 weeks_Graphite/Grey|US$ 1,021.21|Available in 3/4 weeks",https://shop.mohd.it/en/domino-director-chair.html?queryID=864049e10bb420544d5e065af2aa3166&objectID=115917&indexName=mohd_prod_row_en_products
Axis - Rectangular Table,Acerbis,"Axis by Acerbis is the table with a very thin top supported by four plates arranged on staggered axes. Gabriele e Oscar Buratti draws an architecture full of reflections as the position from which it is viewed changes.

Axis is made of composite material veneered in precious woods or back-lacquered glass. The plates that support the top are covered in mirror-polished stainless steel or brushed burnished. The top is made particularly airy by the unusual position of the legs, which make it visually light and guarantee comfortable seating as well as stability.",,https://shop.mohd.it/en/axis-rectangular-table.html?queryID=864049e10bb420544d5e065af2aa3166&objectID=126806&indexName=mohd_prod_row_en_products
Cleo Alu Sunbed,Talenti,"Cleo Alu is an outdoor collection designed by Marco Acerbis. Here we present the sunbed, with a powder coated aluminum frame in white, graphite or dove colour, with three types of sofa fabric: grey for the white frame, dark grey for the graphite frame and white for the dove frame. Cushions with removable cover, easy to wash and weather resistant. Quick dry foam padding.
Cleo Alu is a modern a glamourous outdoor collection that stands out for the stylish and informal mood. The slender and essential frame supports a comfortable and welcoming sitting, perfect to accommodate the poolside chatter or moments of relax in the company of a good book.","White/Grey|US$ 1,513.72|Available in 3/4 weeks_Graphite/Dark Grey|US$ 1,513.72|Available in 3/4 weeks",https://shop.mohd.it/en/cleo-alu-sunbed.html?queryID=864049e10bb420544d5e065af2aa3166&objectID=116088&indexName=mohd_prod_row_en_products
Cleo Alu Rocking Chair,Talenti,"Cleo Alu is an outdoor collection designed by marco Acerbis. Here we present the rocking chair, with a powder coated aluminum frame in white, graphite or dove colour, with different types of shell fabric: grey, green, blue, red, dark grey, or white.
Cleo Alu is a modern a glamourous outdoor collection that stands out for the stylish and informal mood. The slender and essential frame supports a comfortable and welcoming shell, for a luxurious and contemporary interpretation of the rocking chair, which rediscovers a new environment: the outdoor.","White/Grey|US$ 1,572.79|Available in 3/4 weeks_White/Green|US$ 1,572.79|Available in 3/4 weeks_White/Blue|US$ 1,572.79|Available in 3/4 weeks_White/Red|US$ 1,572.79|Available in 3/4 weeks_|US$ 1,572.79|Available in 3/4 weeks",https://shop.mohd.it/en/cleo-alu-rocking-chair.html?queryID=864049e10bb420544d5e065af2aa3166&objectID=116038&indexName=mohd_prod_row_en_products
Cleo Alu Canopy Sofa,Talenti,"Cleo Alu is an outdoor collection designed by marco Acerbis. Here we present the canopy sofa, with roman blinds curtain and a powder coated aluminum frame with a powder coated aluminum frame in white, graphite or dove colour and  different types of sofa fabric: grey for the white frame,  dark grey for the graphite frame and white for the dove frame. Cushions with removable cover, easy to wash and weather resistant. Quick dry foam padding.
Cleo Alu is a modern a glamourous outdoor collection that stands out for the stylish and informal mood. The slender and essential frame supports a comfortable and welcoming sitting, perfect to accommodate the poolside chatter or moments of relax in the company of a good book.","White/Grey|US$ 4,725.98|Available in 3/4 weeks_Dove/White|US$ 4,725.98|Available in 3/4 weeks_Graphite/Dark Grey|US$ 4,725.98|Available in 3/4 weeks",https://shop.mohd.it/en/cleo-alu-canopy-sofa.html?queryID=864049e10bb420544d5e065af2aa3166&objectID=115982&indexName=mohd_prod_row_en_products
Domino Round Coffee Table,Talenti,"The Domino round cofee table is part of the new outdoor collection designed by Marco Acerbis for Talenti. It has a powder coating aluminium frame available in two different colours: White, graphite. Two types of marbles are available: Santafiora marble for the white frame; grey for the graphite frame.
With Domino, Marco Acerbis continues to mix up the new trends of the design. By expertly alternating fabrics and shapes the creative italian designer underlines, one more time, how fine is the border between indoor and outdoor. Elegance and beauty. Freshness and grace. Domino is the real consecration of craftsmanship that becomes art with an unparalleled care of the details. It is clear not only by considering the particular use of wood but also the approach with aluminum and fabrics that are all in harmony with a completely different product if we compare it with the classic disposable outdoor. The coffee table is the cherry on the top with a brazier that can make every ambience romantic.","White/Santafiora Marble|US$ 2,280.59|Available in 3/4 weeks_Graphite/Basaltina|US$ 2,280.59|Available in 3/4 weeks",https://shop.mohd.it/en/domino-round-coffee-table.html?queryID=864049e10bb420544d5e065af2aa3166&objectID=115923&indexName=mohd_prod_row_en_products
